Trial,sampleName,GTSP,Patient,CellType,Timepoint,FragMethod,VCN
Siliciano,1B6-ITGAE-neat-1,1B6-ITGAE-neat,none,1B6-ITGAE-neat,d0,Sonication,1.00
Siliciano,1B6-ITGAE-neat-2,1B6-ITGAE-neat,none,1B6-ITGAE-neat,d0,Sonication,1.00
Siliciano,1B6-ITGAE-neat-3,1B6-ITGAE-neat,none,1B6-ITGAE-neat,d0,Sonication,1.00
Siliciano,1B6-ITGAE-neat-4,1B6-ITGAE-neat,none,1B6-ITGAE-neat,d0,Sonication,1.00
Siliciano,1B6-ITGAE-1000uninfected-1,1B6-ITGAE-1000uninfected,none,1B6-ITGAE-1000uninfected,d0,Sonication,1.00
Siliciano,1B6-ITGAE-1000uninfected-2,1B6-ITGAE-1000uninfected,none,1B6-ITGAE-1000uninfected,d0,Sonication,1.00
Siliciano,1B6-ITGAE-1000uninfected-3,1B6-ITGAE-1000uninfected,none,1B6-ITGAE-1000uninfected,d0,Sonication,1.00
Siliciano,1B6-ITGAE-1000uninfected-4,1B6-ITGAE-1000uninfected,none,1B6-ITGAE-1000uninfected,d0,Sonication,1.00
Siliciano,1B6-ITGAE-1000complex-1,1B6-ITGAE-1000complex,none,1B6-ITGAE-1000complex,d0,Sonication,1.00
Siliciano,1B6-ITGAE-1000complex-2,1B6-ITGAE-1000complex,none,1B6-ITGAE-1000complex,d0,Sonication,1.00
Siliciano,1B6-ITGAE-1000complex-3,1B6-ITGAE-1000complex,none,1B6-ITGAE-1000complex,d0,Sonication,1.00
Siliciano,1B6-ITGAE-1000complex-4,1B6-ITGAE-1000complex,none,1B6-ITGAE-1000complex,d0,Sonication,1.00
Siliciano,5B5-NOSIP-neat-1,5B5-NOSIP-neat,none,5B5-NOSIP-neat,d0,Sonication,1.00
Siliciano,5B5-NOSIP-neat-2,5B5-NOSIP-neat,none,5B5-NOSIP-neat,d0,Sonication,1.00
Siliciano,5B5-NOSIP-neat-3,5B5-NOSIP-neat,none,5B5-NOSIP-neat,d0,Sonication,1.00
Siliciano,5B5-NOSIP-neat-4,5B5-NOSIP-neat,none,5B5-NOSIP-neat,d0,Sonication,1.00
Siliciano,5B5-NOSIP-1000uninfected-1,5B5-NOSIP-1000uninfected,none,5B5-NOSIP-1000uninfected,d0,Sonication,1.00
Siliciano,5B5-NOSIP-1000uninfected-2,5B5-NOSIP-1000uninfected,none,5B5-NOSIP-1000uninfected,d0,Sonication,1.00
Siliciano,5B5-NOSIP-1000uninfected-3,5B5-NOSIP-1000uninfected,none,5B5-NOSIP-1000uninfected,d0,Sonication,1.00
Siliciano,5B5-NOSIP-1000uninfected-4,5B5-NOSIP-1000uninfected,none,5B5-NOSIP-1000uninfected,d0,Sonication,1.00
Siliciano,5B5-NOSIP-1000complex-1,5B5-NOSIP-1000complex,none,5B5-NOSIP-1000complex,d0,Sonication,1.00
Siliciano,5B5-NOSIP-1000complex-2,5B5-NOSIP-1000complex,none,5B5-NOSIP-1000complex,d0,Sonication,1.00
Siliciano,5B5-NOSIP-1000complex-3,5B5-NOSIP-1000complex,none,5B5-NOSIP-1000complex,d0,Sonication,1.00
Siliciano,5B5-NOSIP-1000complex-4,5B5-NOSIP-1000complex,none,5B5-NOSIP-1000complex,d0,Sonication,1.00
